# T EMEAN E2MEAN CV MMEAN  Mmean |M|mean siflips noflips 
     6.0000e+00     -2.8074e+00      2.5819e+01        9.9653e-08      1.6232e-03      2.3043e+00 3245998 1754002
     5.8980e+00     -2.8595e+00      2.6115e+01        1.0313e-07      2.0080e-03      2.3203e+00 3213765 1786235
     5.7959e+00     -2.9141e+00      2.6463e+01        1.0699e-07      1.6088e-03      2.3376e+00 3177527 1822473
     5.6939e+00     -2.9705e+00      2.6807e+01        1.1094e-07     -4.2076e-03      2.3554e+00 3143147 1856853
     5.5918e+00     -3.0291e+00      2.7162e+01        1.1504e-07     -5.4160e-04      2.3735e+00 3109195 1890805
     5.4898e+00     -3.0850e+00      2.7516e+01        1.1944e-07     -1.6340e-03      2.3911e+00 3071856 1928144
     5.3878e+00     -3.1520e+00      2.7932e+01        1.2400e-07      2.4304e-03      2.4125e+00 3030734 1969266
     5.2857e+00     -3.2099e+00      2.8293e+01        1.2877e-07      2.2784e-03      2.4301e+00 2993466 2006534
     5.1837e+00     -3.2795e+00      2.8749e+01        1.3393e-07     -1.2000e-03      2.4528e+00 2950439 2049561
     5.0816e+00     -3.3459e+00      2.9158e+01        1.3913e-07      2.0364e-03      2.4733e+00 2909635 2090365
     4.9796e+00     -3.4272e+00      2.9715e+01        1.4493e-07     -3.3528e-03      2.4996e+00 2859144 2140856
     4.8776e+00     -3.4961e+00      3.0164e+01        1.5083e-07      7.8324e-03      2.5217e+00 2814200 2185800
     4.7755e+00     -3.5766e+00      3.0695e+01        1.5701e-07     -2.7688e-03      2.5473e+00 2763999 2236001
     4.6735e+00     -3.6607e+00      3.1253e+01        1.6348e-07      5.9340e-03      2.5739e+00 2711861 2288139
     4.5714e+00     -3.7397e+00      3.1791e+01        1.7040e-07     -1.1698e-02      2.5996e+00 2663176 2336824
     4.4694e+00     -3.8263e+00      3.2368e+01        1.7750e-07      7.2588e-03      2.6270e+00 2608103 2391897
     4.3673e+00     -3.9264e+00      3.3065e+01        1.8505e-07     -4.5760e-04      2.6593e+00 2545316 2454684
     4.2653e+00     -4.0191e+00      3.3694e+01        1.9284e-07     -7.9724e-03      2.6889e+00 2488282 2511718
     4.1633e+00     -4.1240e+00      3.4435e+01        2.0109e-07     -3.7996e-03      2.7232e+00 2423427 2576573
     4.0612e+00     -4.2256e+00      3.5156e+01        2.0978e-07      1.2632e-03      2.7560e+00 2359301 2640699
