10 Nodos 
9 Elementos 
2 Nodos por elemento 
2 grados de libertad por nodo 
Elementos 
 #Elemento n1 n2 A(m^2)  E (Pa) 
 1  1  2  2.0000e+02  2.9000e+07  
 2  2  3  2.0000e+02  2.9000e+07  
 3  3  4  2.0000e+02  2.9000e+07  
 4  4  5  2.0000e+02  2.9000e+07  
 5  5  6  2.0000e+02  2.9000e+07  
 6  6  7  2.0000e+02  2.9000e+07  
 7  7  8  2.0000e+02  2.9000e+07  
 8  8  9  2.0000e+02  2.9000e+07  
 9  9  10  2.0000e+02  2.9000e+07  
Fin Elementos 
Nodos 
 #nodo X Y  vins  Ux  Fx 
1  0.0000  0.0  1  2  0.0000  0.0000 -3333.3333  -22222.2222 
2  40.0000  0.0  -1  -2  0.0000  0.0000 -6666.6667  -0.0000 
3  80.0000  0.0  -1  -2  0.0000  0.0000 -6666.6667  0.0000 
4  120.0000  0.0  -1  -2  0.0000  0.0000 -6666.6667  0.0000 
5  160.0000  0.0  -1  -2  0.0000  0.0000 -6666.6667  0.0000 
6  200.0000  0.0  -1  -2  0.0000  0.0000 -6666.6667  0.0000 
7  240.0000  0.0  -1  -2  0.0000  0.0000 -6666.6667  0.0000 
8  280.0000  0.0  -1  -2  0.0000  0.0000 -6666.6667  0.0000 
9  320.0000  0.0  -1  -2  0.0000  0.0000 -6666.6667  -0.0000 
10  360.0000  0.0  1  -2  0.0000  0.0000 -3333.3333  22222.2222 
Fin Nodos 
