7 Nodos 
6 Elementos 
2 Nodos por elemento 
2 grados de libertad por nodo 
Elementos 
 #Elemento n1 n2 A(m^2)  E (Pa) 
 1  1  2  2.0000e+02  2.9000e+07  
 2  2  3  2.0000e+02  2.9000e+07  
 3  3  4  2.0000e+02  2.9000e+07  
 4  4  5  2.0000e+02  2.9000e+07  
 5  5  6  2.0000e+02  2.9000e+07  
 6  6  7  2.0000e+02  2.9000e+07  
Fin Elementos 
Nodos 
 #nodo X Y  vins  Ux  Fx 
1  0.0000  0.0  1  2  0.0000  0.0000 -5000.0000  -50000.0000 
2  60.0000  0.0  -1  -2  0.0000  0.0000 -10000.0000  -0.0000 
3  120.0000  0.0  -1  -2  0.0000  0.0000 -10000.0000  0.0000 
4  180.0000  0.0  -1  -2  0.0000  0.0000 -10000.0000  0.0000 
5  240.0000  0.0  -1  -2  0.0000  0.0000 -10000.0000  0.0000 
6  300.0000  0.0  -1  -2  0.0000  0.0000 -10000.0000  0.0000 
7  360.0000  0.0  1  -2  0.0000  0.0000 -5000.0000  50000.0000 
Fin Nodos 
Resultados Desplazamientos
1 0.0000e+00 
2 -6.2069e-01 
3 -1.7379e+00 
4 -2.5138e+00 
5 -2.4828e+00 
6 -1.5517e+00 
7 0.0000e+00 
Resultados Angulos
1 0.0000e+00 
2 -1.7328e-02 
3 -1.7586e-02 
4 -6.9828e-03 
5 8.2759e-03 
6 2.1983e-02 
7 2.7931e-02 
Resultados Fuerzas
1 3.2500e+04 
2 -1.0000e+04 
3 -1.0000e+04 
4 -1.0000e+04 
5 -1.0000e+04 
6 -1.0000e+04 
7 1.7500e+04 
Resultados Momentos
1 2.6500e+06 
2 -0.0000e+00 
3 0.0000e+00 
4 0.0000e+00 
5 0.0000e+00 
6 0.0000e+00 
7 5.0000e+04 
