4 Nodos 
3 Elementos 
2 Nodos por elemento 
2 grados de libertad por nodo 
Elementos 
 #Elemento n1 n2 A(m^2)  E (Pa) 
 1  1  2  2.0000e+02  2.9000e+07  
 2  2  3  2.0000e+02  2.9000e+07  
 3  3  4  2.0000e+02  2.9000e+07  
Fin Elementos 
Nodos 
 #nodo X Y  vins  Ux  Fx 
1  0.0000  0.0  1  2  0.0000  0.0000 -10000.0000  -200000.0000 
2  120.0000  0.0  -1  -2  0.0000  0.0000 -20000.0000  -0.0000 
3  240.0000  0.0  -1  -2  0.0000  0.0000 -20000.0000  0.0000 
4  360.0000  0.0  1  -2  0.0000  0.0000 -10000.0000  200000.0000 
Fin Nodos 
Resultados Desplazamientos
1 0.0000e+00 
2 -1.7379e+00 
3 -2.4828e+00 
4 0.0000e+00 
Resultados Angulos
1 0.0000e+00 
2 -1.7586e-02 
3 8.2759e-03 
4 2.7931e-02 
Resultados Fuerzas
1 2.7500e+04 
2 -2.0000e+04 
3 -2.0000e+04 
4 1.2500e+04 
Resultados Momentos
1 2.5000e+06 
2 -0.0000e+00 
3 0.0000e+00 
4 2.0000e+05 
