6 Nodos 
5 Elementos 
2 Nodos por elemento 
2 grados de libertad por nodo 
Elementos 
 #Elemento n1 n2 A(m^2)  E (Pa) 
 1  1  2  2.0000e+02  2.9000e+07  
 2  2  3  2.0000e+02  2.9000e+07  
 3  3  4  2.0000e+02  2.9000e+07  
 4  4  5  2.0000e+02  2.9000e+07  
 5  5  6  2.0000e+02  2.9000e+07  
Fin Elementos 
Nodos 
 #nodo X Y  vins  Ux  Fx 
1  0.0000  0.0  1  2  0.0000  0.0000 -6000.0000  -72000.0000 
2  72.0000  0.0  -1  -2  0.0000  0.0000 -12000.0000  -0.0000 
3  144.0000  0.0  -1  -2  0.0000  0.0000 -12000.0000  0.0000 
4  216.0000  0.0  -1  -2  0.0000  0.0000 -12000.0000  0.0000 
5  288.0000  0.0  -1  -2  0.0000  0.0000 -12000.0000  0.0000 
6  360.0000  0.0  1  -2  0.0000  0.0000 -6000.0000  72000.0000 
Fin Nodos 
Resultados Desplazamientos
1 0.0000e+00 
2 -8.3659e-01 
3 -2.1237e+00 
4 -2.6063e+00 
5 -1.8019e+00 
6 0.0000e+00 
Resultados Angulos
1 0.0000e+00 
2 -1.8546e-02 
3 -1.4301e-02 
4 2.0110e-03 
5 1.9663e-02 
6 2.7931e-02 
Resultados Fuerzas
1 3.1500e+04 
2 -1.2000e+04 
3 -1.2000e+04 
4 -1.2000e+04 
5 -1.2000e+04 
6 1.6500e+04 
Resultados Momentos
1 2.6280e+06 
2 -0.0000e+00 
3 0.0000e+00 
4 0.0000e+00 
5 0.0000e+00 
6 7.2000e+04 
